,train_feature,fold,layer,condition,accuracy
481,syntactic,0,18,impossible,0.9285714285714286
482,syntactic,0,18,inconceivable,0.9642857142857143
483,syntactic,0,18,syntactic,1.0
484,syntactic,0,18,train,1.0
485,syntactic,0,19,improbable,0.4642857142857143
486,syntactic,0,19,impossible,0.6785714285714286
487,syntactic,0,19,inconceivable,0.9642857142857143
488,syntactic,0,19,syntactic,1.0
489,syntactic,0,19,train,1.0
490,syntactic,0,20,improbable,0.5714285714285714
491,syntactic,0,20,impossible,0.6428571428571429
492,syntactic,0,20,inconceivable,0.9285714285714286
493,syntactic,0,20,syntactic,1.0
494,syntactic,0,20,train,1.0
495,syntactic,0,21,improbable,0.5
496,syntactic,0,21,impossible,0.8214285714285714
497,syntactic,0,21,inconceivable,0.9285714285714286
498,syntactic,0,21,syntactic,1.0
499,syntactic,0,21,train,1.0
500,syntactic,0,22,improbable,0.5
501,syntactic,0,22,impossible,0.6785714285714286
502,syntactic,0,22,inconceivable,0.9642857142857143
503,syntactic,0,22,syntactic,1.0
504,syntactic,0,22,train,1.0
505,syntactic,0,23,improbable,0.5357142857142857
506,syntactic,0,23,impossible,0.7857142857142857
507,syntactic,0,23,inconceivable,0.8928571428571429
508,syntactic,0,23,syntactic,1.0
509,syntactic,0,23,train,1.0
510,syntactic,0,24,improbable,0.5714285714285714
511,syntactic,0,24,impossible,0.7857142857142857
512,syntactic,0,24,inconceivable,0.8928571428571429
513,syntactic,0,24,syntactic,1.0
514,syntactic,0,24,train,1.0
515,syntactic,0,25,improbable,0.6071428571428571
516,syntactic,0,25,impossible,0.6785714285714286
517,syntactic,0,25,inconceivable,0.8214285714285714
518,syntactic,0,25,syntactic,0.9642857142857143
519,syntactic,0,25,train,1.0
520,improbable,1,0,improbable,0.39285714285714285
521,improbable,1,0,impossible,0.5714285714285714
522,improbable,1,0,inconceivable,0.5714285714285714
523,improbable,1,0,syntactic,0.5357142857142857
524,improbable,1,0,train,0.7857142857142857
525,improbable,1,1,improbable,0.39285714285714285
526,improbable,1,1,impossible,0.5
527,improbable,1,1,inconceivable,0.5357142857142857
528,improbable,1,1,syntactic,0.5
529,improbable,1,1,train,0.8035714285714286
530,improbable,1,2,improbable,0.6428571428571429
531,improbable,1,2,impossible,0.6428571428571429
532,improbable,1,2,inconceivable,0.7857142857142857
533,improbable,1,2,syntactic,0.9285714285714286
534,improbable,1,2,train,0.8660714285714286
